id,taxonomy_id,term_uri,facet,label,definition,parent_id,data,created_at,updated_at,deleted_at
0239cd23-56ec-4a0d-a826-b5fddeaa5797,d81c255a-7e12-436a-bb52-a52eb592b770,candid:PF120000,POPULATION,Tribal and indigenous religious groups,Adherents of religions that are specific to and characteristic of tribal and indigenous cultures.,e9f9c588-52c8-4c7d-b4aa-c6c6f38d3201,,2025-06-04 20:48:18.351649+00,2025-06-04 20:48:18.351649+00,
04584bcd-a69e-4f28-8bb6-4195181f1573,f1bfbae2-3b2f-42b8-8b02-747ee1504399,SC030000,focusArea,Natural resources,"Protection of natural resources from abuse, neglect, waste or exploitation and preservation of their availability for future generations. For parks and playgrounds use terms in Sports and recreation. For farmland preservation, use Farmlands; and for irrigation services, use Irrigation and water management.",d1dd1da5-e8cd-4d8d-8c3e-d1d0dfb46496,,2025-07-16 13:03:31.072312+00,2025-07-16 13:03:31.072312+00,
057e0564-0be1-417b-9826-5024165200d3,f1bfbae2-3b2f-42b8-8b02-747ee1504399,SK020000,focusArea,Leadership development,"Programs that are designed to train people to become effective leaders on a national or local level and in a variety of fields, such as the American Leadership Forum or Shavano Institute for National Leadership. For youth leadership development programs, use terms under Youth Development.",cd8ae35a-a7a6-4e31-92f2-eae545653e9b,,2025-07-16 13:03:31.072312+00,2025-07-16 13:03:31.072312+00,
05e0c1f6-2beb-4b95-8d90-a4a6743d3de1,d81c255a-7e12-436a-bb52-a52eb592b770,candid:PF090000,POPULATION,Baha'is,Adherents of Baha'i.,e9f9c588-52c8-4c7d-b4aa-c6c6f38d3201,,2025-06-04 20:48:18.351649+00,2025-06-04 20:48:18.351649+00,
05fb0adf-3e44-460b-a2eb-24c7600e2639,f1bfbae2-3b2f-42b8-8b02-747ee1504399,SR000000,focusArea,International human rights,"Measures to support specialized official human rights institutions and mechanisms at universal, regional, national and local levels in their statutory roles to promote and protect civil and political, economic, social and cultural rights as defined in international conventions and covenants; translation of international human rights commitments into national legislation; reporting and follow-up; human rights dialogue. Human rights defenders and human rights NGOs; human rights advocacy, activism, mobilization; awareness raising and public human rights education. Human rights programming targeting specific groups, e.g. children, persons with disabilities, migrants, ethnic, religious, linguistic and sexual minorities, indigenous people and those suffering from caste discrimination, victims of trafficking, victims of torture. This does not include efforts solely focused on the provision of services, such as food, housing, education, or legal assistance. For animal rights work, see Research on animals and Humane education.",,,2025-07-16 13:03:31.072312+00,2025-07-16 13:03:31.072312+00,
067de160-8fb3-4457-a040-12eae6d40ded,f1bfbae2-3b2f-42b8-8b02-747ee1504399,SS040000,focusArea,Family services,"A wide variety of social services that are designed to support children and youth, and healthy family development; improving the family's ability to resolve problems (such as poverty, unemployment, ill health, homelessness, substandard housing, educational difficulties, substance abuse, adolescent pregnancy, delinquency and physical and developmental problems) and prevent the need for unnecessary placement of children in foster care, group homes, inpatient substance abuse or mental health treatment programs, residential training schools or other alternative environments when family problems reach crisis proportions. Use this term for general or multiple services for children and/or youth, and for school-based integrated services projects, case or care management programs, respite care for families, and other comprehensive family support services; and for programs that offer more than one service broken out at a lower level. Include here organizations that provide support services to other family and child development projects. For family preservation programs, child abuse prevention and child abuse treatment and other intervention programs, use Child abuse. For group homes for children, use Group homes; for orphanages for dependent children, use Orphanages.",08f90583-23d5-475d-a6ac-6fd56e5412e7,,2025-07-16 13:03:31.072312+00,2025-07-16 13:03:31.072312+00,
0720c6c3-9fd6-46a8-ad5d-50b67820b224,f1bfbae2-3b2f-42b8-8b02-747ee1504399,SE030000,focusArea,Health care administration and financing,"The administration and management of health and medical care through insurance, other financing activities, technical assistance, services to patients and their families, and the study and practice of ethical behavior in medical care and research.",890b4e78-ed3a-4b30-8075-2a0ae8097499,,2025-07-16 13:03:31.072312+00,2025-07-16 13:03:31.072312+00,
084fe4f0-6b51-4d5c-9df5-ffc958f629d2,f1bfbae2-3b2f-42b8-8b02-747ee1504399,SG030000,focusArea,Economics,"The systematic study of the production, conservation and allocation of resources in conditions of scarcity, together with the organizational frameworks related to these processes. Includes economic theory, micro- and macroeconomics, comparative economic systems, money and banking systems, international economics, quantitative analytical methods, and applications to specific industries and public policy issues.",5919c2ab-be9e-48af-9e81-67758223453a,,2025-07-16 13:03:31.072312+00,2025-07-16 13:03:31.072312+00,
08a27166-a339-41b5-85da-10560fa067ad,ad45a607-0d5d-4c9e-83c7-4ad9a44f3d81,necFunding:9,,Professional development,,,,2025-05-18 18:46:04.178967+00,2025-05-18 18:46:04.178967+00,
08f90583-23d5-475d-a6ac-6fd56e5412e7,f1bfbae2-3b2f-42b8-8b02-747ee1504399,SS000000,focusArea,Human services,"Promotion and provision of a broad range of social or human services to individuals or families; family services, including shelters and aftercare programs for victims of domestic violence; direct social services to children and adolescents (e.g., adoption and foster care services, child day care, etc.); personal social services, travelers aid, etc.; residential, custodial care facilities and services for individuals unable to live independently due to developmental disabilities, age or physical infirmity; and programs that promote general independent functioning and living of individuals (e.g. guide dog services for people with disabilities, etc.); job assistance programs that help those with significant barriers to employment, including special employment assistance for people who have disabilities or other disadvantages); housing rehabilitation, home improvement, shelters, and other non-recreational temporary housing facilities, and services to assist individuals and families in locating, acquiring, or sustaining clean, safe and adequate housing on a rental or ownership basis; programs that work to build character and develop leadership and social skills among children and youth, including scouting organizations; adult matching programs; business, agricultural, religious and other youth leadership programs; and youth community service clubs; food services for the poor and hungry, including dining facilities, food banks, and food delivery services.",,,2025-07-16 13:03:31.072312+00,2025-07-16 13:03:31.072312+00,
